Date,AAPL,MSFT,GOOGL,AMZN,META,TSLA,NVDA
2018-01-02,40.42681884765625,79.32852172851562,53.40517425537109,59.45050048828125,180.5689849853516,21.368667602539062,4.929428577423096
2018-01-03,40.41977691650391,79.69772338867188,54.316314697265625,60.209999084472656,183.80374145507807,21.149999618530277,5.253851890563965
2018-01-04,40.60752868652344,80.39916229248047,54.527305603027344,60.47949981689453,183.4653167724609,20.974666595458984,5.281547546386719
2018-01-05,41.069862365722656,81.39595031738281,55.25035095214844,61.45700073242188,185.9735107421875,21.10533332824707,5.326305389404297
2018-01-08,40.91732406616211,81.47903442382812,55.44541549682617,62.34349822998047,187.39678955078125,22.42733383178711,5.489506244659424
2018-01-09,40.91263198852539,81.42362976074219,55.374755859375,62.6349983215332,186.9887237548828,22.246000289916992,5.488022804260254
2018-01-10,40.90323638916016,81.05445861816406,55.24288558959961,62.71649932861328,186.9588623046875,22.31999969482422,5.531047344207764
2018-01-11,41.13557815551758,81.2944564819336,55.33793258666992,63.83399963378906,186.88919067382807,22.530000686645508,5.540938854217529
2018-01-12,41.560359954833984,82.69732666015625,56.26350784301758,65.26000213623047,178.528564453125,22.4146671295166,5.513739585876465
2018-01-16,41.34912490844727,81.54362487792969,56.265995025634766,65.24299621582031,177.5531768798828,22.67066764831543,5.442770481109619
2018-01-17,42.03205871582031,83.19573211669922,56.68400192260742,64.75,176.76690673828125,23.143999099731445,5.556764602661133
2018-01-18,42.06961441040039,83.15879821777344,56.52824401855469,64.66600036621094,178.95657348632812,22.971332550048828,5.549839973449707
2018-01-19,41.88187026977539,83.0665283203125,56.902950286865234,64.72899627685547,180.4395751953125,23.334667205810547,5.69004487991333
2018-01-22,41.53923416137695,84.55245971679688,57.93103790283203,66.3655014038086,184.5004425048828,23.437332153320312,5.778569221496582
2018-01-23,41.548622131347656,84.82014465332031,58.5286750793457,68.12699890136719,188.4617919921875,23.519332885742188,5.907648086547852
2018-01-24,40.886810302734375,84.7463150024414,58.28583908081055,67.87550354003906,185.6749267578125,23.05933380126953,5.83074426651001
2018-01-25,40.15694427490234,85.21702575683594,58.82575988769531,68.89749908447266,186.6005401611328,22.50933265686035,5.844344139099121
2018-01-26,40.25080490112305,86.81372833251953,59.09546661376953,70.10250091552734,189.1087188720703,22.856666564941406,6.01694393157959
2018-01-29,39.41768264770508,86.68451690673828,59.04172897338867,70.88400268554688,185.10760498046875,23.302000045776367,6.103984355926514
2018-01-30,39.18534851074219,85.59542083740234,58.5883903503418,71.89099884033203,186.2422332763672,23.05466651916504,6.001858711242676
2018-01-31,39.29330062866211,87.69058227539062,58.82973861694336,72.54450225830078,186.0133209228516,23.62066650390625,6.0780205726623535
2018-02-01,39.37543869018555,86.99832153320312,58.79838562011719,69.5,192.18423461914065,23.28333282470703,5.946964740753174
2018-02-02,37.666934967041016,84.70938873291016,55.69373321533203,71.49749755859375,189.3874053955078,22.916667938232425,5.7743659019470215
2018-02-05,36.72583770751953,81.22059631347656,52.86674499511719,69.5,180.4097137451172,22.208667755126957,5.284266948699951
2018-02-06,38.260684967041016,84.29405212402344,53.9635009765625,72.14199829101562,184.4407196044922,22.264667510986328,5.578030586242676
2018-02-07,37.44163131713867,82.70657348632812,52.51940536499024,70.83899688720703,179.3347930908203,23.0,5.657651424407959
2018-02-08,36.41135787963867,78.46094512939453,50.14575958251953,67.5250015258789,170.77513122558594,21.01533317565918,5.378726482391357
2018-02-09,36.85672378540039,81.3867416381836,52.064579010009766,66.9800033569336,175.28387451171875,20.69466781616211,5.738758087158203
2018-02-12,38.34126663208008,82.2635269165039,52.47711181640625,69.3115005493164,175.58248901367188,21.048667907714844,5.638611316680908
2018-02-13,38.72537612915039,82.90963745117188,52.45621109008789,70.72550201416016,172.3377685546875,21.577333450317383,5.752358913421631
2018-02-14,39.439361572265625,84.20783233642578,53.379791259765625,72.55249786376953,178.6779022216797,21.48733329772949,5.9697136878967285
2018-02-15,40.76366424560547,85.92330932617188,54.308353424072266,73.08799743652344,179.11582946777344,22.271333694458008,6.095330715179443
2018-02-16,40.6317024230957,85.3113021850586,54.51436996459961,72.43450164794922,176.52801513671875,22.36599922180176,6.029553890228272
2018-02-20,40.49504089355469,85.97897338867188,54.91694641113281,73.4175033569336,175.18435668945312,22.31800079345703,6.159127712249756
2018-02-21,40.311222076416016,84.83839416503906,55.42252731323242,74.14600372314453,177.07542419433594,22.21999931335449,5.971938610076904
2018-02-22,40.648216247558594,85.06095886230469,55.2309455871582,74.26699829101562,178.15037536621094,23.077999114990234,5.991485595703125
2018-02-23,41.35512924194336,87.22154998779297,56.1361198425293,75.0,182.43017578125,23.46999931335449,6.085015296936035
2018-02-26,42.172813415527344,88.48265838623047,56.91290283203125,76.09750366210938,184.06251525878903,23.827999114990234,6.101097583770752
2018-02-27,42.036128997802734,87.35139465332031,55.60963439941406,75.5989990234375,180.60877990722656,23.39933204650879,6.088230133056641
2018-02-28,41.97251510620117,86.95262145996094,54.93336486816406,75.62249755859375,177.48353576660156,22.87066650390625,5.9877753257751465
2018-03-01,41.23731231689453,86.0995101928711,53.31560134887695,74.67250061035156,175.11468505859375,22.062000274658203,5.745542049407959
2018-03-02,41.52244567871094,86.28498840332031,53.94907379150391,75.01249694824219,175.79148864746094,22.341333389282227,5.852677822113037
2018-03-05,41.66617202758789,86.83207702636719,54.47754287719727,76.18049621582031,179.55374145507812,22.22333335876465,5.8306565284729
2018-03-06,41.63081741333008,86.53536224365234,54.7830810546875,76.88200378417969,178.9366912841797,21.8799991607666,5.991732597351074
