Date,AAPL,MSFT,GOOGL,AMZN,META,TSLA,NVDA
2018-03-15,42.09739685058594,87.33281707763672,57.25675582885742,79.11599731445312,182.99752807617188,21.706666946411133,6.1693878173828125
2018-03-16,41.94894027709961,87.7223129272461,56.45111083984375,78.58399963378906,184.2217559814453,21.42333221435547,6.197593688964844
2018-03-19,41.30800247192383,86.1365966796875,54.74178695678711,77.24649810791016,171.7505340576172,20.90399932861328,5.9630327224731445
2018-03-20,41.29386520385742,86.35916137695312,54.529296875,79.32550048828125,167.36122131347656,20.703332901000977,6.175325393676758
2018-03-21,40.35836410522461,85.75641632080078,54.439727783203125,79.09300231933594,168.5954132080078,21.101999282836914,6.150088787078857
2018-03-22,39.788108825683594,83.26200103759766,52.406944274902344,77.24600219726562,164.11651611328125,20.606666564941406,5.984064102172852
2018-03-23,38.86674880981445,80.84173583984375,51.083274841308594,74.77799987792969,158.64231872558594,20.1026668548584,5.764346122741699
2018-03-26,40.71183776855469,86.9619140625,52.45372009277344,77.79299926757812,159.3091583251953,20.278667449951172,6.049136638641357
2018-03-27,39.667938232421875,82.96524047851562,50.10743713378906,74.85250091552734,151.50595092773438,18.61199951171875,5.58001184463501
2018-03-28,39.229637145996094,82.89108276367188,50.019859313964844,71.57099914550781,152.3121337890625,17.185333251953125,5.476833820343018
2018-03-29,39.535972595214844,84.63438415527344,51.610252380371094,72.36699676513672,159.0404510498047,17.742000579833984,5.730202674865723
2018-04-02,39.276763916015625,82.0843276977539,50.39058303833008,68.59950256347656,154.6610870361328,16.832000732421875,5.469411849975586
2018-04-03,39.679710388183594,83.18780517578125,50.69164276123047,69.60250091552734,155.37770080566406,17.8353328704834,5.575806140899658
2018-04-04,40.438480377197266,85.61734008789062,51.24052047729492,70.52850341796875,154.37245178222656,19.12933349609375,5.5978264808654785
2018-04-05,40.71889114379883,85.66368103027344,51.386329650878906,72.5875015258789,158.59254455566406,20.381332397460938,5.477576732635498
2018-04-06,39.67736053466797,83.66999053955078,50.257225036621094,70.2614974975586,156.46258544921875,19.953332901000977,5.3011603355407715
2018-04-09,40.07087707519531,84.17073059082031,50.761810302734375,70.30400085449219,157.18917846679688,19.310667037963867,5.329861640930176
2018-04-10,40.824928283691406,86.1273422241211,51.57841110229492,71.81099700927734,164.26580810546875,20.31333351135254,5.6391472816467285
2018-04-11,40.634063720703125,85.18151092529297,51.009124755859375,71.35250091552734,165.53982543945312,20.062000274658203,5.5978264808654785
2018-04-12,41.03466033935547,86.77643585205078,51.61771774291992,72.42500305175781,163.10130310058594,19.60533332824707,5.804677963256836
2018-04-13,41.173683166503906,86.31280517578125,51.55551528930664,71.53949737548828,163.74827575683594,20.022666931152344,5.727973937988281
2018-04-16,41.430538177490234,87.32356262207031,52.056121826171875,72.07499694824219,164.05679321289062,19.413999557495117,5.72772741317749
2018-04-17,42.00079345703125,89.08544158935547,53.711204528808594,75.19149780273438,167.86883544921875,19.179332733154297,5.877420425415039
2018-04-18,41.90653610229492,89.42852783203125,53.51365280151367,76.39199829101562,165.57962036132812,19.55666732788086,5.848471641540527
2018-04-19,40.71889114379883,89.12251281738281,54.21330642700195,77.84549713134766,167.31146240234375,20.005332946777344,5.667107105255127
2018-04-20,39.05055236816406,88.09319305419922,53.60969543457031,76.37449645996094,165.5,19.349332809448242,5.658941268920898
2018-04-23,38.93744659423828,88.41777038574219,53.435028076171875,75.89299774169922,165.0620574951172,18.891332626342773,5.53943395614624
2018-04-24,38.395477294921875,86.34989166259766,50.88870620727539,73.00450134277344,158.94093322753906,18.8973331451416,5.4731221199035645
2018-04-25,38.562774658203125,85.59877014160156,50.90612030029297,73.00849914550781,158.94093322753906,18.71266746520996,5.360788822174072
2018-04-26,38.69709014892578,87.40701293945312,51.91728591918945,75.89800262451172,173.34304809570312,19.031999588012695,5.5725884437561035
2018-04-27,38.24937057495117,88.85359191894531,51.32710266113281,78.63099670410156,172.7757110595703,19.60533332824707,5.600053310394287
2018-04-30,38.9421501159668,86.72081756591797,50.68667221069336,78.30650329589844,171.19314575195312,19.593332290649414,5.564671516418457
2018-05-01,39.84702682495117,88.09319305419922,51.78989028930664,79.11299896240234,173.04441833496094,19.994667053222656,5.620095729827881
2018-05-02,41.607261657714844,86.71155548095703,51.05839538574219,78.48400115966797,175.24407958984375,20.07666778564453,5.599557876586914
2018-05-03,41.68267059326172,87.2308349609375,51.070831298828125,78.60399627685547,173.2036895751953,18.963333129882812,5.764841556549072
2018-05-04,43.31802749633789,88.24159240722656,52.299957275390625,79.04750061035156,175.78155517578125,19.606000900268555,5.9150309562683105
2018-05-07,43.631431579589844,89.22450256347656,52.720943450927734,80.00700378417969,177.13514709472656,20.184667587280273,6.1530561447143555
