Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2018-01-02,180.56898498535156,180.72823809500116,176.7171434173781,176.84652328015753,18151900
2018-01-03,183.80374145507812,183.9132260705838,180.47941249294252,181.02683557047084,16886600
2018-01-04,183.46531677246094,185.33650262355803,183.23639994617054,184.0326350266955,13880900
2018-01-05,185.9735107421875,186.0232640472396,184.06250391230233,184.71941156087465,13574500
2018-01-08,187.39678955078125,188.0138763111986,185.45593991139518,186.32185393807256,17994700
2018-01-09,186.9887237548828,187.9143691548241,186.22234664989608,187.81483216568213,12393100
2018-01-10,186.9588623046875,187.00863079835582,184.75923764433958,186.06309016750532,10529900
2018-01-11,186.88919067382812,187.5162250685007,186.50102073914078,187.5162250685007,9588600
2018-01-12,178.528564453125,180.6286669798334,176.5678045742319,177.2247121370225,77551300
2018-01-16,177.5531768798828,180.89741582112072,177.20481264523306,180.6485885641453,36183800
2018-01-17,176.76690673828125,178.4788396488722,174.97534727519633,178.4191083440927,27992400
2018-01-18,178.95657348632812,180.13103089685436,176.24933160605107,177.2944091650246,23304900
2018-01-19,180.4395751953125,181.5145108168175,179.32483389325304,180.00165196036858,26826500
2018-01-22,184.5004425048828,184.52035293924786,179.56371788715904,179.951887827614,21059500
2018-01-23,188.4617919921875,188.66085078301788,184.67961421756127,185.17726878824334,25678800
2018-01-24,185.6749267578125,189.76564801119068,185.64506869800198,188.9992557058916,24334500
2018-01-25,186.6005401611328,187.73519189326166,185.72467850697743,187.06833663893437,17377700
2018-01-26,189.1087188720703,189.1087188720703,185.9336805831592,186.86927351700632,17759200
2018-01-29,185.10760498046875,187.9541899648046,184.759255864861,187.86461577969519,20453200
2018-01-30,186.2422332763672,187.2972584886988,180.98700246184683,186.73988782461504,20858600
2018-01-31,186.01332092285156,188.93953216707698,184.35115651408114,187.48637416877298,43275100
2018-02-01,192.18423461914062,194.40378489480474,187.0086302249544,187.33708405750394,54211300
2018-02-02,189.3874053955078,193.29897787126404,189.08880964215672,191.1391438614441,26677500
2018-02-05,180.4097137451172,189.71585947925897,179.76276893459863,186.0531142614743,33128200
2018-02-06,184.4407196044922,184.89856845477743,176.90623791250104,177.73234625533001,37758500
2018-02-07,179.3347930908203,184.21181697651505,179.10587624163267,183.2861715813623,27601900
2018-02-08,170.77513122558594,180.98699676690902,170.67559424418377,180.1608884203465,38478300
2018-02-09,175.28387451171875,176.07016196587634,166.3957569444767,173.94020124149802,39887600
2018-02-12,175.58248901367188,176.7171408256628,171.03391895449337,176.22943387971821,32092100
2018-02-13,172.3377685546875,175.14454757111807,172.28801524831223,174.79618330321944,21809400
2018-02-14,178.6779022216797,178.96653519177443,172.3975039375849,172.6363684129151,28929700
2018-02-15,179.11582946777344,179.65328969084672,176.01045479789107,179.65328969084672,20922100
2018-02-16,176.52801513671875,179.0361982153312,175.47298996517847,178.15037376118786,20645300
2018-02-20,175.18435668945312,177.11525885569642,174.28858453616257,174.94549221508885,21204900
2018-02-21,177.07542419433594,180.41966297306823,175.572497915421,175.88105645633365,23200800
2018-02-22,178.15037536621094,179.36465364290387,176.57778521791664,177.8617272319484,18464200
2018-02-23,182.43017578125,182.5297127538717,178.66790906173776,179.0560789554268,19007300
2018-02-26,184.06251525878906,184.789101878763,182.36054510382058,183.7141661658928,17599700
2018-02-27,180.60877990722656,183.83357138463742,180.60877990722656,183.5847441317651,15849800
2018-02-28,177.48353576660156,182.02214308235156,177.30437222139437,181.44486195012547,18783000
2018-03-01,175.11468505859375,179.27506979662647,173.59186335426966,178.17027609082157,23201600
2018-03-02,175.79148864746094,176.27919557459333,172.17852693631085,172.47710751699228,20025900
2018-03-05,179.55374145507812,180.30022322141667,175.06490323422483,175.37344660102443,16189300
2018-03-06,178.9366912841797,181.52450134447955,178.26983592578853,180.9273097344985,15086800
2018-03-07,182.84823608398438,182.95772068926377,177.23469353200903,177.90154878699772,19097300
2018-03-08,181.48464965820312,183.53498388397196,180.5988252056949,182.69892792171473,17225900
2018-03-09,184.361083984375,184.63976929267358,182.35057071553672,183.04728398628316,18526300
2018-03-12,183.89332580566406,185.2270517011932,183.35586550986383,184.3611223534964,15301200
2018-03-13,181.0268096923828,185.11753037828268,180.26041749340018,184.73930809020106,18067500
2018-03-14,183.32598876953125,183.3857048866232,180.99696907967405,181.74345091774714,16821700
2018-03-15,182.99752807617188,183.13687073989857,181.33536373485663,182.38044130641245,15614300
2018-03-16,184.2217559814453,184.46063563064666,182.5496439986702,183.6245796392591,24403400
2018-03-19,171.7505340576172,176.33890956779285,169.26226133381718,176.1796564685389,88140100
2018-03-20,167.36122131347656,169.40160803302504,161.1903078489395,166.68441840634694,129851800
2018-03-21,168.5954132080078,172.5865973586535,162.5339842409996,164.02694793852154,106598800
2018-03-22,164.11651611328125,169.47128390579698,162.95200629426867,165.35070485882497,73743000
2018-03-23,158.64231872558594,165.81850410418517,158.27405921412011,164.6639418895425,53609700
2018-03-26,159.3091583251953,160.34428820442616,148.32095349477987,160.06560289552792,126116600
2018-03-27,151.50595092773438,162.08609141664357,150.0428453501392,155.57676146178918,79117000
2018-03-28,152.3121337890625,155.1487704903695,150.09259898992926,150.93860252057155,60029200
2018-03-29,159.0404510498047,160.66280991248811,153.41696012120534,154.4222169500067,59434300
2018-04-02,154.6610870361328,158.45321243887204,153.38709254878768,157.0697333383701,36796000
2018-04-03,155.37770080566406,156.65169521078622,150.10255965374913,155.8156392300269,42543900
2018-04-04,154.37245178222656,154.830285476133,149.8039713437707,151.31684547030457,49885600
2018-04-05,158.59254455566406,160.8120947303666,155.91516071075105,160.80213191978945,41449600
2018-04-06,156.46258544921875,160.66279101161112,156.07441551275176,156.99009805038645,41644800
2018-04-09,157.18917846679688,159.7769885242525,155.30804464080168,157.07970903187464,34915200
2018-04-10,164.26580810546875,165.20140109468446,156.27347720249628,157.18915975718076,57889300
2018-04-11,165.53982543945312,167.85888239871142,162.4842190531551,164.58432197122343,56144600
2018-04-12,163.10130310058594,166.66451162652712,162.33492600139087,166.19671511807707,38263000
2018-04-13,163.74827575683594,164.9227333367475,163.0017938480813,163.80799187958218,19990600
2018-04-16,164.05679321289062,165.00233377686143,162.6235457450056,164.94261766356806,18119400
2018-04-17,167.86883544921875,168.20723689626863,164.88290816703645,165.0521088905614,22743000
2018-04-18,165.57962036132812,167.3313588874807,164.99239164478516,166.09718533911396,20969600
2018-04-19,167.31146240234375,167.54037923829648,164.42505695837133,165.42036603824914,22235000
2018-04-20,165.5,167.63990854270122,165.0322034965275,167.00291131053618,19119400
2018-04-23,165.0620574951172,167.65981485354345,164.31557567013508,166.48535740543315,23088100
2018-04-24,158.94093322753906,165.32086903110593,157.4479693838646,164.65399848285006,35079900
2018-04-25,158.94093322753906,160.30450201152007,155.45735092563194,159.3888193431987,41083600
2018-04-26,173.34304809570312,175.44315104466574,169.99880868852128,172.40745504916822,77556900
2018-04-27,172.7757110595703,176.26925588286448,171.79036472455897,175.98060772560146,29804700
2018-04-30,171.19314575195312,174.89569639830938,170.9045128281158,172.9747421561854,20750500
2018-05-01,173.04441833496094,173.2036714152783,169.43144190970975,171.19314304109787,26025900
2018-05-02,175.24407958984375,177.24464540275068,173.38284125549177,173.43260974766798,30424500
2018-05-03,173.2036895751953,175.29382952147006,171.312593219372,174.30848325651598,24026100
2018-05-04,175.78155517578125,176.14981471307752,172.24820454353974,172.268114979592,17677800
2018-05-07,177.13514709472656,178.657968676828,176.33889684312592,176.518060363661,18697200
2018-05-08,178.08070373535156,178.20013596837327,176.27919668028616,177.41384845562752,15577200
2018-05-09,181.8031463623047,182.15149540146814,177.94134256588472,178.82716697218402,23282800
2018-05-10,184.65969848632812,185.25689002890425,181.64391308946358,182.2908579379112,21071400
2018-05-11,186.1128692626953,187.43663229617613,183.31603770622377,183.9829082223848,21207800
