,weight
AAPL,0.012944077515515354
MSFT,0.30106924699542353
GOOGL,6.505213034913027e-19
AMZN,2.8189256484623115e-18
META,0.0
TSLA,0.23218854207576084
NVDA,0.4537981334133004
